# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
 KMT-2023-BLG-1866L b: nan nan 2.630 2.6300 2181.40909 nan 0
>KOI-12: 297.4537402 41.0110188 10.234 1.400 1.500 6779.2 4.25 0.08
 KOI-12 b: 7.526 13.787 349.613 0.1540 17.85518 985.6 0
 Kepler-448 c: nan nan 6992.260 4.2000 2500.00000 188.7 0
>KOI-1257: 291.2250888 44.9272918 12.726 1.130 0.990 5520.0 4.32 0.27
 KOI-1257 b: 4.262 10.540 460.830 0.3820 86.64766 457.8 0
>KOI-13: 286.9713876 46.8682463 9.425 1.740 1.720 7650.0 4.20 0.20
 KOI-13 b: 3.203 16.948 2949.462 0.0364 1.76359 2550.1 0
>KOI-142: 291.1481028 40.6694130 11.454 0.900 0.990 5466.0 4.47 0.27
 KOI-142 b: 3.451 3.438 9.500 0.0960 10.91647 807.1 0
 KOI-142 c: nan nan 214.100 0.1544 22.26492 636.4 0
 Kepler-88 d: nan nan 965.000 2.4445 1403.00000 159.9 1
>KOI-1599: 298.3738383 40.6184483 13.238 0.970 1.020 5823.0 4.47 0.06
 KOI-1599.01: 8.839 1.900 4.600 0.1473 20.44150 720.6 0
 KOI-1599.02: 4.413 1.900 9.000 0.1123 13.60880 825.3 0
>KOI-1783: 289.3414629 46.9881550 12.621 1.140 1.080 5922.0 4.30 0.11
 KOI-1783.01: 5.874 8.860 71.000 0.5026 134.46280 430.1 0
 KOI-1783.02: 7.875 5.440 15.000 0.8680 284.21500 327.3 0
>KOI-217: 294.8654667 46.2858128 13.469 0.860 0.950 5545.0 4.54 0.21
 KOI-217 b: 2.855 12.442 nan 0.0477 3.90512 1135.3 0
>KOI-2513: 293.6688776 46.3792321 13.367 1.200 0.910 5900.0 4.30 -0.37
 KOI-2513.01: 2.007 2.802 7310.053 0.5000 19.00547 440.7 0
>KOI-3503: 293.1507654 41.7291532 12.483 1.250 0.860 6001.0 4.55 -0.80
 KOI-3503 b: 3.690 1.190 9.200 0.1425 21.18500 857.1 0
 KOI-3503 c: 4.170 1.210 10.360 0.1869 31.82800 748.3 0
>KOI-351: 284.4334642 49.3051239 12.482 1.200 1.200 6080.0 4.40 -0.12
 KOI-351 b: 3.990 1.310 nan 0.0740 7.00815 1180.6 0
 KOI-351 c: 4.410 1.190 nan 0.0890 8.71937 1076.5 0
 KOI-351 d: 8.400 2.870 nan 0.3200 59.73667 567.7 0
 KOI-351 e: 9.710 2.660 nan 0.4200 91.93913 495.6 0
 KOI-351 f: 10.940 2.880 nan 0.4800 124.91440 463.6 0
 KOI-351 g: 12.593 8.100 254.264 0.7100 210.60697 381.2 0
 KOI-351 h: 14.737 11.300 235.750 1.0100 331.60059 319.6 0
 Kepler-90 i: 2.800 1.224 nan 0.2028 14.44912 731.6 0
>KOI-3680: 293.2815266 45.3096572 13.101 0.960 1.010 5830.0 4.47 0.16
 KOI-3680 b: 6.737 11.097 613.412 0.5340 141.24167 376.9 0
>KOI-4777: 287.2621474 42.0322257 12.449 0.400 0.410 3515.0 4.77 0.10
 KOI-4777.01: 0.730 0.510 99.200 0.0080 0.41200 1198.5 0
>KOI-4978: 286.5907635 38.5582993 13.507 0.970 0.860 5050.3 nan nan
 KOI-4978 b: 2.200 0.700 nan 0.0162 0.94197 1882.1 0
>KOI-55: 296.3561853 41.0927315 15.495 0.200 0.500 27730.0 5.52 nan
 KOI-55 b: nan 0.759 0.440 0.0060 0.24010 7720.1 0
 KOI-55 c: nan 0.867 0.655 0.0076 0.34289 6859.5 0
>KOI-7368: 293.9476365 48.0652589 10.794 0.870 0.880 5241.0 4.50 0.06
 KOI-7368 b: 2.790 2.220 nan 0.0674 6.84303 907.7 0
>KOI-7892: 282.3775397 44.6945690 12.966 1.240 1.150 6474.0 4.31 -0.16
 KIC 8540376 b: nan 4.058 nan 0.2033 31.80990 777.1 0
 KIC 8540376 c: nan 2.435 nan 0.6088 75.20000 449.1 0
 Kepler-457 d: 4.657 2.985 nan 0.0995 10.69060 1102.0 0
>KOI-7913 A: 286.7485252 45.1587234 11.212 0.790 0.760 4324.0 4.52 -0.06
 KOI-7913 b: 4.390 2.340 nan 0.1503 24.27855 478.0 0
>KOI-94: 297.3330716 41.8911186 10.926 1.520 1.280 6182.0 4.18 0.02
 KOI-94 b: 3.730 1.710 10.500 0.0512 3.74321 1624.4 0
 KOI-94 c: 5.229 4.320 15.600 0.1013 10.42365 1154.7 0
 KOI-94 d: 6.699 11.270 106.000 0.1684 22.34299 895.6 0
 KOI-94 e: 8.465 6.560 35.000 0.3046 54.32031 665.9 0
>KOI-984: 291.0489438 36.8400772 10.016 0.820 0.930 5295.0 4.54 0.12
 KOI-984 b: 1.580 4.300 nan 0.0504 4.28818 1029.9 0
 KOI-984 c: nan nan 209.800 0.1467 21.51200 603.7 0
>KPS-1: 165.1671980 64.9638452 10.931 0.910 0.890 5165.0 4.47 0.22
 KPS-1 b: 1.680 11.545 346.435 0.0269 1.70629 1448.6 0
>Kapteyn: 77.9586613 -45.0430198 5.049 0.290 0.280 3550.0 nan -0.89
 Kapteyn c: nan nan 7.000 0.3110 121.54000 165.3 1
>Kepler-10: 285.6792980 50.2414842 9.496 1.060 0.910 5708.0 4.37 -0.15
 Kepler-10 b: 1.964 1.470 3.260 0.0169 0.83749 2183.1 0
 Kepler-10 c: 6.859 2.355 11.400 0.2410 45.29430 577.2 0
 Kepler-10 d: nan nan 12.680 0.5379 151.04000 386.4 1
>Kepler-100: 291.3861294 41.9901394 9.768 1.490 1.080 5825.0 4.12 0.02
 Kepler-100 b: 4.636 1.320 7.340 0.0727 6.88705 1271.8 0
 Kepler-100 c: 6.538 2.200 7.050 0.1100 12.81590 1033.9 0
 Kepler-100 d: 5.904 1.610 3.000 0.2162 35.33310 737.4 0
 Kepler-100 e: nan nan 24.143 0.3124 60.88859 613.4 1
>Kepler-1000: 286.6854729 47.0981948 12.094 1.510 1.400 6453.0 4.23 0.35
 Kepler-1000 b: 11.604 4.760 nan 0.5327 120.01813 523.9 0
>Kepler-1001: 286.2739151 48.6186972 13.662 0.880 0.900 5491.0 4.52 -0.03
 Kepler-1001 b: 4.449 3.150 nan 0.1113 14.30512 744.4 0
 Kepler-1001 c: 3.476 1.653 nan 0.0838 9.18186 820.9 0
>Kepler-1002: 293.0794629 43.0736770 10.374 1.570 1.220 6144.0 4.13 0.04
 Kepler-1002 b: 4.103 1.710 nan 0.0556 4.33643 1574.2 0
>Kepler-1003: 292.0204349 44.8762427 12.623 1.170 1.110 6109.0 4.35 0.01
 Kepler-1003 b: 2.103 1.780 nan 0.0472 3.55486 1466.7 0
>Kepler-1004: 297.3593427 49.7975464 11.060 3.390 1.110 4972.0 3.43 -0.04
 Kepler-1004 b: 8.528 6.280 nan 0.0615 5.28790 1780.0 0
>Kepler-1005: 286.2858998 43.3205085 11.718 1.060 1.000 5782.0 4.38 0.02
 Kepler-1005 b: 2.317 1.500 nan 0.0681 6.49802 1099.6 0
>Kepler-1006: 295.7542063 42.5373065 12.502 0.740 0.780 5328.0 4.59 -0.40
 Kepler-1006 b: 3.591 1.540 nan 0.1317 19.76172 609.0 0
>Kepler-1007: 295.9065297 45.8090893 12.224 0.700 0.730 4587.0 4.62 0.03
 Kepler-1007 b: 2.177 1.440 nan 0.0528 5.18500 805.4 0
>Kepler-1008: 296.5476395 44.9418307 11.378 0.780 0.810 5066.0 4.56 -0.01
 Kepler-1008 b: 3.121 1.280 nan 0.0979 12.43931 689.4 0
>Kepler-1009: 282.8598614 42.6658336 12.347 0.570 0.590 4027.0 4.70 -0.12
 Kepler-1009 b: 2.376 2.170 nan 0.0829 11.35012 509.2 0
>Kepler-101: 283.2555070 48.3552474 12.011 1.560 1.170 5667.0 4.12 0.33
 Kepler-101 b: 3.875 5.770 51.100 0.0474 3.48768 1567.7 0
 Kepler-101 c: 3.870 1.250 3.780 0.0684 6.02976 1305.0 0
>Kepler-1010: 289.1926026 44.1493165 12.771 0.820 0.860 5253.0 4.55 -0.01
 Kepler-1010 b: 4.818 2.320 nan 0.1964 34.26857 517.6 0
>Kepler-1011: 297.4015491 46.8239976 13.361 0.880 0.910 5416.0 4.52 0.08
 Kepler-1011 b: 1.683 2.870 nan 0.0609 5.75322 992.8 0
>Kepler-1012: 289.2962253 46.4579889 11.664 0.910 0.950 5556.0 4.50 0.05
 Kepler-1012 b: 2.947 1.290 nan 0.0600 5.50860 1043.3 0
>Kepler-1013: 290.2481023 44.4352935 12.289 0.760 0.810 4954.0 4.59 0.04
 Kepler-1013 b: 3.344 2.150 nan 0.1296 18.93055 578.5 0
>Kepler-1014: 285.1219875 44.1105331 12.898 0.840 0.880 5388.0 4.54 -0.06
 Kepler-1014 b: 2.961 2.390 nan 0.1219 16.57110 682.0 0
>Kepler-1015: 292.7573088 43.4268439 11.684 1.810 1.490 6769.0 4.09 0.06
 Kepler-1015 b: 6.465 3.550 nan 0.1420 16.00494 1165.5 0
>Kepler-1016: 294.6136890 45.9846265 13.728 1.000 0.990 5821.0 4.44 -0.03
 Kepler-1016 b: 2.096 2.180 nan 0.0305 1.95452 1607.5 0
 Kepler-1016 c: 9.243 3.680 nan 0.4359 105.65514 425.1 0
>Kepler-1017: 283.4692990 40.1325185 12.396 0.870 0.930 5473.0 4.53 0.04
 Kepler-1017 b: 2.165 1.990 nan 0.0715 7.23400 920.9 0
>Kepler-1018: 283.5967317 45.4078654 13.373 0.880 0.910 5518.0 4.52 -0.05
 Kepler-1018 b: 6.323 2.580 nan 0.2543 49.10135 495.0 0
>Kepler-1019: 283.7175909 47.2043818 11.003 0.670 0.700 4433.0 4.64 0.01
 Kepler-1019 b: 1.391 1.460 nan 0.0219 1.41123 1183.4 0
>Kepler-102: 281.4824731 47.2078263 9.351 0.720 0.800 4909.0 4.60 0.11
 Kepler-102 b: 2.591 0.460 1.100 0.0552 5.28697 854.8 0
 Kepler-102 c: 2.751 0.567 1.700 0.0670 7.07139 775.9 0
 Kepler-102 d: 3.205 1.154 3.000 0.0862 10.31177 684.2 0
 Kepler-102 e: 3.725 2.170 4.700 0.1162 16.14570 589.2 0
 Kepler-102 f: 3.535 0.861 4.300 0.1656 27.45359 493.6 0
>Kepler-1020: 292.6724710 46.3772776 12.150 0.800 0.870 5227.0 4.57 0.00
 Kepler-1020 b: 5.996 2.280 nan 0.3942 96.91515 359.1 0
>Kepler-1021: 295.2048999 42.5596699 13.332 0.860 0.890 5431.0 4.53 -0.05
 Kepler-1021 b: 2.617 2.330 nan 0.1066 13.47470 743.9 0
>Kepler-1022: 289.3520595 46.9736345 12.821 0.680 0.710 4445.0 4.64 0.06
 Kepler-1022 b: 1.643 2.360 nan 0.0863 10.99470 601.6 0
>Kepler-1023: 289.0297232 49.7697034 12.762 0.890 0.930 5494.0 4.51 0.05
 Kepler-1023 b: 4.158 2.630 nan 0.2997 62.13877 456.5 0
>Kepler-1024: 291.9510277 38.2516419 14.050 0.780 0.810 5143.0 4.57 -0.10
 Kepler-1024 b: 6.965 3.910 nan 0.2992 66.41621 400.4 0
>Kepler-1025: 284.5102140 43.9615628 12.217 1.130 1.090 6089.0 4.37 -0.03
 Kepler-1025 b: 7.021 1.980 nan 0.2249 37.32295 658.1 0
>Kepler-1026: 283.6053012 39.9979286 12.077 0.750 0.790 4948.0 4.59 -0.02
 Kepler-1026 b: 3.588 2.210 nan 0.1991 36.51561 463.0 0
>Kepler-1027: 287.5711746 42.8138159 11.119 0.820 0.910 5436.0 4.57 -0.06
 Kepler-1027 b: 1.853 0.890 nan 0.0292 1.90781 1389.7 0
>Kepler-1028: 289.5931004 49.7812447 12.630 0.870 0.900 5522.0 4.52 -0.09
 Kepler-1028 b: 1.609 1.330 nan 0.0349 2.51462 1328.7 0
>Kepler-1029: 292.1328738 41.5474786 12.169 0.770 0.820 5030.0 4.58 0.01
 Kepler-1029 b: 1.916 1.260 nan 0.0493 4.41770 958.4 0
>Kepler-103: 288.9845512 40.0644857 10.873 1.490 1.210 6009.0 4.08 0.16
 Kepler-103 b: 4.781 3.486 9.800 0.1322 15.96533 972.7 0
 Kepler-103 c: 13.267 5.450 38.000 0.6639 179.60978 434.1 0
>Kepler-1030: 293.6819098 45.8175241 13.578 0.760 0.800 4983.0 4.59 -0.01
 Kepler-1030 b: 3.770 2.480 nan 0.1309 19.32952 579.1 0
>Kepler-1031: 296.0898796 48.9554121 12.353 1.120 1.090 6011.0 4.38 0.03
 Kepler-1031 b: 2.149 0.870 nan 0.0231 1.22622 2019.4 0
>Kepler-1032: 289.9308779 40.0977109 13.301 0.710 0.770 4647.0 4.62 0.16
 Kepler-1032 b: 1.547 1.870 nan 0.0397 3.29012 947.9 0
>Kepler-1033: 283.8450963 44.6090251 14.283 0.920 0.940 5547.0 4.49 0.06
 Kepler-1033 b: 3.826 2.510 nan 0.0739 7.56053 944.1 0
>Kepler-1034: 286.1154093 37.9669464 13.158 0.800 0.830 5198.0 4.57 -0.06
 Kepler-1034 b: 3.314 2.260 nan 0.0971 12.12401 719.6 0
>Kepler-1035: 289.0422430 42.8824991 11.416 0.970 0.980 5763.0 4.45 -0.03
 Kepler-1035 b: 1.262 1.170 nan 0.0378 2.71408 1407.3 0
>Kepler-1036: 295.1817093 49.9458172 12.124 0.890 0.950 5533.0 4.52 0.04
 Kepler-1036 b: 8.281 3.010 nan 0.4755 122.88081 365.0 0
>Kepler-1037: 296.3410342 47.1709335 12.248 0.780 0.820 5105.0 4.57 -0.03
 Kepler-1037 b: 1.076 1.280 nan 0.0191 1.06379 1573.6 0
>Kepler-1038: 298.9721472 44.1323499 12.782 0.830 0.870 5335.0 4.55 -0.04
 Kepler-1038 b: 5.402 3.530 nan 0.5238 148.46034 323.8 0
 Kepler-1038 c: 2.449 1.433 nan 0.0692 7.12766 856.4 0
>Kepler-1039: 298.3266169 45.3154212 11.753 0.740 0.790 4870.0 4.60 0.01
 Kepler-1039 b: 1.417 1.460 nan 0.0173 0.93488 1536.0 0
>Kepler-104: 287.6046621 42.1665104 11.209 1.350 0.849 5711.0 4.11 -0.38
 Kepler-104 b: 4.565 3.100 19.600 0.0940 11.42755 1043.6 0
 Kepler-104 c: 5.872 3.130 7.144 0.1530 23.66821 818.0 0
 Kepler-104 d: 7.465 3.580 5.540 0.2570 51.75539 631.2 0
>Kepler-1040: 283.1137663 48.1312774 11.772 0.960 0.980 5694.0 4.47 0.01
 Kepler-1040 b: 10.575 2.080 nan 0.6673 201.12140 329.3 0
>Kepler-1041: 293.8817361 49.6831419 13.034 1.080 1.060 5957.0 4.40 0.01
 Kepler-1041 b: 7.361 2.940 nan 0.1695 24.75764 725.1 0
>Kepler-1042: 288.6689428 39.8239935 13.368 0.720 0.750 4815.0 4.61 -0.10
 Kepler-1042 b: 3.138 2.190 nan 0.0833 10.13203 682.8 0
>Kepler-1043: 281.6629579 47.5685927 13.195 0.900 0.920 5629.0 4.50 -0.11
 Kepler-1043 b: 5.973 2.550 nan 0.2170 38.50534 552.7 0
>Kepler-1044: 293.1444017 46.6662155 13.903 1.110 1.080 5985.0 4.38 0.04
 Kepler-1044 b: 2.620 2.670 nan 0.0719 6.77409 1134.1 0
>Kepler-1045: 284.1832668 45.0740897 13.757 0.820 0.860 5301.0 4.55 -0.03
 Kepler-1045 b: 2.996 2.690 nan 0.1651 26.41045 569.8 0
>Kepler-1046: 296.7558056 46.9982799 11.730 1.040 1.040 5913.0 4.42 0.00
 Kepler-1046 b: 2.966 1.710 nan 0.1172 14.37508 849.3 0
>Kepler-1047: 288.6462564 50.7889645 11.803 1.130 1.080 5754.0 4.37 0.29
 Kepler-1047 b: 6.089 2.090 nan 0.2946 56.18869 543.4 0
 Kepler-1047 c: 2.490 0.990 nan 0.0435 3.18898 1414.1 0
>Kepler-1048: 281.8983042 42.1657112 12.447 0.700 0.750 4651.0 4.62 0.01
 Kepler-1048 b: 4.247 1.610 nan 0.0646 6.92101 738.4 0
>Kepler-1049: 287.3469567 47.7729078 11.180 0.490 0.510 3864.0 4.77 -0.33
 Kepler-1049 b: 1.773 0.950 nan 0.0345 3.27346 702.5 0
>Kepler-105: 287.8872376 46.2761224 11.503 0.890 0.960 5827.0 4.25 -0.19
 Kepler-105 b: 3.300 2.718 5.100 0.0660 5.41220 1509.3 0
 Kepler-105 c: 3.053 1.310 4.600 0.0715 7.12620 991.4 0
>Kepler-1050: 282.9249847 48.6264015 11.717 1.130 1.090 6010.0 4.37 0.03
 Kepler-1050 b: 4.373 1.600 nan 0.1246 15.37875 872.9 0
 Kepler-1050 c: 3.789 1.480 nan 0.1539 21.12846 785.2 0
>Kepler-1051: 295.1581062 40.8988186 12.010 1.730 1.430 6675.0 4.12 0.04
 Kepler-1051 b: 6.270 3.400 nan 0.1933 25.96200 962.9 0
>Kepler-1052: 295.3427300 46.6022134 13.305 1.030 1.030 5888.0 4.42 0.00
 Kepler-1052 b: 5.358 2.930 nan 0.2109 34.85383 627.5 0
 Kepler-1052 c: 8.990 2.792 nan 0.6135 180.92173 330.2 0
>Kepler-1053: 291.4186349 39.1273664 10.585 0.690 0.740 4529.0 4.63 0.10
 Kepler-1053 b: 1.225 0.980 nan 0.0319 2.41435 1016.4 0
>Kepler-1054: 290.6011085 44.5563604 12.693 1.340 1.220 6209.0 4.26 0.09
 Kepler-1054 b: 4.070 2.630 nan 0.0554 4.30656 1473.1 0
>Kepler-1055: 290.4867838 44.9325410 11.569 0.940 0.980 5723.0 4.49 -0.02
 Kepler-1055 b: 1.646 1.230 nan 0.0338 2.29504 1454.8 0
>Kepler-1056: 299.5259832 46.8992561 12.827 1.200 1.120 6127.0 4.33 0.02
 Kepler-1056 b: 5.024 3.010 nan 0.1851 27.49561 752.2 0
>Kepler-1057: 297.4521311 41.5580816 13.924 1.100 1.070 5987.0 4.38 0.01
 Kepler-1057 b: 4.162 3.360 nan 0.1168 14.08827 886.1 0
>Kepler-1058: 294.5956256 45.8750556 13.005 0.690 0.730 4644.0 4.63 -0.06
 Kepler-1058 b: 12.841 2.720 nan 0.4069 110.96546 291.6 0
>Kepler-1059: 289.2202147 41.7064385 13.351 0.720 0.750 4906.0 4.61 -0.15
 Kepler-1059 b: 2.060 1.730 nan 0.0430 3.76419 967.7 0
>Kepler-106: 300.8640060 44.3375497 11.431 1.040 1.000 5858.0 4.41 -0.12
 Kepler-106 b: 3.227 0.820 5.300 0.0658 6.16486 1123.0 0
 Kepler-106 c: 3.247 2.500 10.440 0.1113 13.57080 863.3 0
 Kepler-106 d: 4.611 0.950 8.100 0.1627 23.98020 714.1 0
 Kepler-106 e: 6.418 2.560 11.170 0.2433 43.84450 584.0 0
>Kepler-1060: 286.0252285 39.6309204 12.964 0.990 0.990 5797.0 4.44 -0.03
 Kepler-1060 b: 9.635 2.380 nan 0.2536 46.87794 552.3 0
>Kepler-1061: 296.2300306 50.2752091 11.934 1.070 1.090 6067.0 4.42 -0.03
 Kepler-1061 b: 2.291 1.980 nan 0.0396 2.75798 1520.5 0
>Kepler-1062: 283.8994187 41.2215940 12.333 0.700 0.750 4597.0 4.62 0.11
 Kepler-1062 b: 1.891 1.760 nan 0.0787 9.30412 661.3 0
>Kepler-1063: 290.5267975 38.1428283 10.793 1.140 1.090 5945.0 4.37 0.09
 Kepler-1063 b: 1.335 1.490 nan 0.1174 14.07971 893.2 0
>Kepler-1064: 291.7415821 37.6888103 11.817 0.790 0.850 5153.0 4.57 0.00
 Kepler-1064 b: 2.544 1.550 nan 0.1204 16.54080 636.6 0
>Kepler-1065: 294.5113190 38.7904648 13.671 0.930 0.940 5635.0 4.49 -0.01
 Kepler-1065 b: 1.745 3.730 nan 0.0451 3.60931 1233.8 0
 Kepler-1065 c: 1.845 1.600 nan 0.0341 2.37031 1419.4 0
>Kepler-1066: 298.8666210 46.5022325 11.362 0.980 0.980 5762.0 4.45 -0.03
 Kepler-1066 b: 1.628 2.360 nan 0.0302 1.93156 1584.1 0
>Kepler-1067: 285.3873706 45.0490265 12.656 0.930 0.950 5592.0 4.49 0.03
 Kepler-1067 b: 1.076 0.800 nan 0.0161 0.76213 2052.5 0
 Kepler-1067 c: 2.534 1.747 nan 0.0600 5.42584 1061.8 0
>Kepler-1068: 294.6481708 46.3923173 14.161 1.010 1.010 5806.0 4.43 0.03
 Kepler-1068 b: 4.062 3.630 nan 0.1294 16.92344 782.1 0
>Kepler-1069: 290.9792378 47.9889097 11.538 0.980 0.990 5722.0 4.46 0.04
 Kepler-1069 b: 15.722 1.600 nan 0.1618 23.89903 679.0 0
>Kepler-107: 297.0281620 48.2086019 11.060 1.450 1.240 5854.0 4.20 0.32
 Kepler-107 b: 3.492 1.536 3.800 0.0454 3.18002 1594.6 0
 Kepler-107 c: 4.246 1.597 10.000 0.0606 4.90145 1380.4 0
 Kepler-107 d: 4.280 0.860 7.700 0.0838 7.95839 1174.4 0
 Kepler-107 e: 6.535 2.903 14.100 0.1264 14.74914 956.2 0
>Kepler-1070: 293.1953923 49.3165410 12.681 1.320 1.210 6261.0 4.27 0.03
 Kepler-1070 b: 3.261 1.730 nan 0.0705 6.22161 1306.0 0
>Kepler-1071: 293.0579794 45.2487472 13.775 0.810 0.860 5215.0 4.56 0.01
 Kepler-1071 b: 2.106 2.380 nan 0.0627 6.17998 904.0 0
>Kepler-1072: 292.0443891 46.3289723 12.566 1.320 1.200 6199.0 4.27 0.07
 Kepler-1072 b: 2.784 1.580 nan 0.0281 1.56907 2049.4 0
>Kepler-1073: 294.1527259 38.2330886 12.924 1.000 1.000 5792.0 4.44 0.00
 Kepler-1073 b: 3.482 2.300 nan 0.0827 8.67889 971.5 0
 Kepler-1073 c: 2.767 1.640 nan 0.0495 4.02582 1255.0 0
 Kepler-1073 d: 2.523 1.329 nan 0.0351 2.50476 1500.5 0
>Kepler-1074: 284.4766869 46.2526781 12.073 0.570 0.600 4002.0 4.70 -0.06
 Kepler-1074 b: 2.174 1.250 nan 0.0542 5.94567 626.0 0
>Kepler-1075: 287.5011404 47.4691157 12.415 0.540 0.560 3959.0 4.72 -0.17
 Kepler-1075 b: 1.465 1.420 nan 0.0214 1.52373 959.9 0
>Kepler-1076: 287.5902594 51.0606047 10.664 0.740 0.790 4868.0 4.60 -0.01
 Kepler-1076 b: 2.763 0.800 nan 0.0607 6.14728 819.5 0
>Kepler-1077: 291.0336333 42.2678448 13.496 1.020 1.020 5816.0 4.43 0.03
 Kepler-1077 b: 4.222 2.770 nan 0.2082 34.35119 620.8 0
>Kepler-1078: 293.2005664 43.0500379 13.932 0.920 0.940 5612.0 4.49 -0.01
 Kepler-1078 b: 4.336 1.900 nan 0.0399 3.00725 1298.8 0
>Kepler-1079: 299.5495794 45.7696769 11.056 1.360 1.080 5758.0 4.21 0.21
 Kepler-1079 b: 4.367 1.630 nan 0.1124 13.24503 965.8 0
>Kepler-108: 294.5589885 46.0623952 10.983 2.190 1.380 5854.0 3.90 0.17
 Kepler-108 b: 11.277 8.650 nan 0.2920 49.18392 773.1 0
 Kepler-108 c: 15.700 8.180 nan 0.7210 190.32349 492.0 0
>Kepler-1080: 296.4644914 49.1828952 12.176 1.160 1.100 5956.0 4.35 0.09
 Kepler-1080 b: 10.294 3.280 nan 0.3665 77.25484 511.0 0
>Kepler-1081: 289.4447520 41.3179652 11.907 0.840 0.880 5345.0 4.54 0.01
 Kepler-1081 b: 1.984 1.010 nan 0.0461 3.85692 1099.9 0
>Kepler-1082: 289.3586737 50.5984489 11.970 1.140 1.030 5923.0 4.33 -0.06
 Kepler-1082 b: 2.609 1.120 nan 0.0264 1.54321 1877.1 0
>Kepler-1083: 283.1618831 45.1983360 13.815 0.770 0.810 5049.0 4.58 -0.02
 Kepler-1083 b: 4.549 3.360 nan 0.1893 33.41780 491.1 0
>Kepler-1084: 290.1019809 48.2511460 10.836 1.280 1.120 6113.0 4.27 -0.02
 Kepler-1084 b: 2.375 1.110 nan 0.0328 2.05334 1840.5 0
>Kepler-1085: 287.4776359 46.1411685 13.891 1.140 1.110 6000.0 4.37 0.08
 Kepler-1085 b: 12.358 7.220 nan 0.7369 219.32175 359.8 0
 Kepler-1085 c: 6.864 3.450 nan 0.2938 56.77710 537.7 0
>Kepler-1086: 295.2511870 45.8429537 12.941 0.660 0.700 4350.0 4.65 0.06
 Kepler-1086 b: 3.234 2.440 nan 0.1228 18.78426 486.3 0
 Kepler-1086 c: 6.456 2.940 nan 0.5154 161.51633 237.4 0
>Kepler-1087: 294.9789253 46.0056741 11.213 0.940 0.960 5589.0 4.48 0.01
 Kepler-1087 b: 1.524 0.610 nan 0.0151 0.69384 2124.2 0
>Kepler-1088: 281.5614578 42.4504087 10.476 1.080 1.080 5975.0 4.40 0.05
 Kepler-1088 b: 4.923 1.420 nan 0.1630 23.12749 741.7 0
>Kepler-1089: 291.0926509 49.1901729 12.386 0.490 0.520 3753.0 4.76 -0.09
 Kepler-1089 b: 1.631 1.830 nan 0.0468 5.13249 585.4 0
>Kepler-109: 290.3926795 40.2849074 11.001 1.390 1.090 5950.0 4.21 -0.02
 Kepler-109 b: 3.649 2.490 4.900 0.0701 6.48163 1277.6 0
 Kepler-109 c: 6.491 2.650 8.200 0.1546 21.22265 860.3 0
>Kepler-1090: 295.6629002 44.5258237 13.070 0.820 0.860 5321.0 4.55 -0.04
 Kepler-1090 b: 8.287 2.250 nan 0.6337 198.68018 291.9 0
 Kepler-1090 c: 5.907 2.674 nan 0.2273 42.42720 541.8 0
>Kepler-1091: 299.7854426 43.6707235 13.059 1.030 1.010 5851.0 4.42 0.00
 Kepler-1091 b: 1.881 1.460 nan 0.0250 1.43474 1811.8 0
>Kepler-1092: 297.7232008 47.1126833 13.076 1.000 0.990 5862.0 4.44 -0.09
 Kepler-1092 b: 5.543 2.070 nan 0.2943 58.60179 521.1 0
>Kepler-1093: 284.9780251 41.4202077 12.484 1.200 1.130 6166.0 4.33 -0.01
 Kepler-1093 b: 6.357 1.950 nan 0.1747 25.08246 779.3 0
 Kepler-1093 c: 10.678 1.960 nan 0.4085 89.72229 509.6 0
>Kepler-1094: 292.3012109 38.2669983 13.542 1.210 1.140 6112.0 4.33 0.06
 Kepler-1094 b: 8.322 3.180 nan 0.3735 78.10002 530.4 0
>Kepler-1095: 293.2624215 41.3650155 12.899 0.920 0.940 5658.0 4.48 -0.09
 Kepler-1095 b: 2.274 1.210 nan 0.0505 4.27103 1164.9 0
>Kepler-1096: 294.7094688 45.9695533 12.384 0.630 0.660 4306.0 4.66 -0.10
 Kepler-1096 b: 1.366 1.240 nan 0.0346 2.89222 886.1 0
>Kepler-1097: 281.5941261 42.5963949 13.252 0.790 0.820 5211.0 4.57 -0.11
 Kepler-1097 b: 5.408 3.260 nan 0.6006 187.74703 288.2 0
>Kepler-1098: 295.5026730 43.2326992 13.070 0.990 0.990 5794.0 4.45 -0.02
 Kepler-1098 b: 2.749 1.300 nan 0.0363 2.54307 1458.3 0
>Kepler-1099: 288.7499866 48.2771163 13.697 1.000 1.010 5837.0 4.45 -0.02
 Kepler-1099 b: 1.661 2.830 nan 0.0329 2.16845 1551.8 0
>Kepler-11: 297.1150949 41.9091092 12.180 1.060 0.960 5663.0 4.37 0.00
 Kepler-11 b: 4.116 1.800 1.900 0.0910 10.30390 932.0 0
 Kepler-11 c: 4.544 2.870 2.900 0.1070 13.02410 859.5 0
 Kepler-11 d: 5.586 3.120 7.300 0.1550 22.68450 714.1 0
 Kepler-11 e: 4.165 4.190 8.000 0.1950 31.99960 636.7 0
 Kepler-11 f: 6.431 2.490 2.000 0.2500 46.68880 562.3 0
 Kepler-11 g: 9.469 3.330 25.000 0.4660 118.38070 411.9 0
